t,psdrive_free_gb,driveinfo_free_gb,pf_alloc_gb,pf_used_gb,commit_gb,sum_private_gb,python_private_gb,top_proc,top_private_gb
11:33:00.904,2.729,2.729,49.694,0.841,64.716,39.232,25.674,python,6.120
11:33:02.517,2.729,2.729,49.694,0.841,64.717,39.234,25.674,python,6.120
11:33:04.115,2.715,2.715,49.694,0.841,64.700,39.234,25.674,python,6.120
11:33:05.716,2.714,2.714,49.694,0.841,64.720,39.235,25.674,python,6.120
11:33:07.328,2.714,2.714,49.694,0.841,64.716,39.235,25.674,python,6.120
11:33:08.913,2.714,2.714,49.694,0.841,64.702,39.236,25.674,python,6.120
11:33:10.527,2.714,2.714,49.694,0.841,64.718,39.238,25.674,python,6.120
11:33:12.122,2.714,2.714,49.694,0.841,65.011,39.553,25.674,python,6.120
11:33:13.746,2.714,2.714,49.694,0.841,65.278,39.785,25.674,python,6.120
11:33:15.348,2.706,2.706,49.694,0.841,65.328,39.767,25.674,python,6.120
11:33:16.970,2.714,2.714,49.694,0.841,64.853,39.366,25.674,python,6.120
11:33:18.591,2.714,2.714,49.694,0.841,65.234,39.748,25.674,python,6.120
11:33:20.234,2.714,2.714,49.694,0.841,64.890,39.451,25.674,python,6.120
11:33:21.842,2.714,2.714,49.694,0.841,65.033,39.543,25.674,python,6.120
11:33:23.433,2.714,2.714,49.694,0.841,65.267,39.789,25.674,python,6.120
11:33:25.046,2.707,2.707,49.694,0.841,65.303,39.737,25.674,python,6.120
11:33:26.650,2.706,2.706,49.694,0.841,65.356,39.805,25.674,python,6.120
11:33:28.235,2.706,2.706,49.694,0.841,65.335,39.769,25.674,python,6.120
11:33:29.831,2.706,2.706,49.694,0.841,65.309,39.762,25.674,python,6.120
11:33:31.426,2.706,2.706,49.694,0.841,65.299,39.735,25.674,python,6.120
11:33:33.035,2.702,2.702,49.694,0.841,64.877,39.392,25.674,python,6.120
11:33:34.633,2.702,2.702,49.694,0.841,65.326,39.749,25.674,python,6.120
11:33:36.222,2.702,2.702,49.694,0.841,65.281,39.722,25.674,python,6.120
11:33:37.813,2.702,2.702,49.694,0.841,65.276,39.723,25.674,python,6.120
11:33:39.427,2.702,2.702,49.694,0.841,65.283,39.718,25.674,python,6.120
11:33:41.033,2.701,2.701,49.694,0.841,65.268,39.717,25.674,python,6.120
11:33:42.649,2.707,2.707,49.694,0.841,65.287,39.723,25.674,python,6.120
11:33:44.252,2.707,2.707,49.694,0.841,65.279,39.716,25.674,python,6.120
11:33:45.854,2.715,2.715,49.694,0.841,64.839,39.370,25.674,python,6.120
11:33:47.457,2.715,2.715,49.694,0.841,65.298,39.806,25.693,python,6.120
11:33:49.061,2.715,2.715,49.694,0.841,64.881,39.437,25.674,python,6.120
11:33:50.675,2.715,2.715,49.694,0.841,64.712,39.237,25.674,python,6.120
11:33:52.269,2.715,2.715,49.694,0.841,64.728,39.235,25.674,python,6.120
11:33:53.867,2.715,2.715,49.694,0.841,64.713,39.239,25.674,python,6.120
11:33:55.456,2.715,2.715,49.694,0.841,64.726,39.243,25.674,python,6.120
11:33:57.073,2.715,2.715,49.694,0.841,64.791,39.325,25.691,python,6.120
11:33:58.674,2.715,2.715,49.694,0.841,65.193,39.734,25.720,python,6.120
11:34:00.275,2.714,2.714,49.694,0.841,65.453,39.971,25.723,python,6.120
11:34:01.905,2.707,2.707,49.694,0.841,64.943,39.454,25.723,python,6.120
11:34:03.509,2.714,2.714,49.694,0.841,65.349,39.855,25.723,python,6.120
11:34:05.123,2.714,2.714,49.694,0.841,65.404,39.795,25.723,python,6.120
11:34:06.720,2.714,2.714,49.694,0.841,64.989,39.482,25.723,python,6.120
11:34:08.318,2.714,2.714,49.694,0.841,65.325,39.848,25.723,python,6.120
11:34:09.923,2.714,2.714,49.694,0.841,64.991,39.510,25.694,python,6.120
11:34:11.533,2.714,2.714,49.694,0.841,65.093,39.591,25.691,python,6.120
