t,C_free_GB,C_free_perf_GB,pf_alloc_GB,pf_used_GB,commit_used_GB
11:16:25.617,4.351,4.351,35.495,0.846,54.827
11:16:28.714,4.351,4.351,35.495,0.846,54.807
11:16:31.836,4.350,4.351,35.495,0.846,54.807
11:16:34.934,4.350,4.351,35.495,0.846,54.829
11:16:38.060,4.350,4.351,35.495,0.846,54.830
11:16:41.146,4.349,4.351,35.495,0.846,54.824
11:16:44.239,4.347,4.351,35.495,0.846,54.825
11:16:47.337,4.347,4.351,35.495,0.846,54.807
11:16:50.429,4.346,4.351,35.495,0.846,54.820
11:16:53.522,4.333,4.351,35.495,0.846,54.788
11:16:56.609,4.333,4.351,35.495,0.846,54.789
11:16:59.695,4.333,4.351,35.495,0.846,54.793
11:17:02.790,4.333,4.351,35.495,0.846,54.790
11:17:05.880,4.333,4.351,35.495,0.846,54.791
11:17:08.982,4.332,4.351,35.495,0.846,54.775
11:17:12.074,4.332,4.351,35.495,0.846,54.796
11:17:15.167,4.331,4.351,35.495,0.846,54.775
11:17:18.264,4.331,4.351,35.495,0.846,54.788
11:17:21.351,4.331,4.351,35.495,0.846,54.787
11:17:24.454,4.331,4.351,35.495,0.846,54.795
11:17:27.554,4.331,4.351,35.495,0.846,54.792
11:17:30.648,4.331,4.351,35.495,0.846,54.777
11:17:33.747,4.331,4.351,35.495,0.846,54.804
11:17:36.843,4.331,4.351,35.495,0.846,54.797
11:17:39.935,4.330,4.351,35.495,0.846,54.797
11:17:43.027,4.330,4.351,35.495,0.846,54.784
11:17:46.114,4.330,4.351,35.495,0.846,54.913
11:17:49.221,4.330,4.351,35.495,0.846,54.857
11:17:52.313,4.330,4.351,35.495,0.846,54.792
11:17:55.405,4.330,4.351,35.495,0.846,54.778
11:17:58.488,4.330,4.351,35.495,0.846,54.820
11:18:01.592,4.329,4.351,35.495,0.846,54.826
11:18:04.680,4.329,4.351,35.495,0.846,54.813
11:18:07.768,4.329,4.351,35.495,0.846,54.816
11:18:10.858,4.328,4.351,35.495,0.846,54.890
11:18:13.951,4.328,4.351,35.495,0.846,54.924
11:18:17.046,4.328,4.351,35.495,0.846,64.682
11:18:20.149,4.328,4.351,35.495,0.846,64.819
11:18:23.246,4.328,4.351,35.495,0.846,64.836
11:18:26.342,4.328,4.351,35.495,0.846,64.833
11:18:29.444,4.328,4.351,35.495,0.846,64.828
11:18:32.546,4.328,4.351,35.495,0.846,64.749
11:18:35.640,4.328,4.351,35.495,0.846,64.746
11:18:38.734,4.328,4.351,35.495,0.846,64.755
11:18:41.827,4.327,4.351,35.495,0.846,64.743
11:18:44.921,4.327,4.351,35.495,0.846,64.751
11:18:48.018,4.326,4.351,35.495,0.846,64.731
