t,C_free_GB,pf_alloc_GB,commit_used_GB
10:30:25,10.98,39.47,62.60
10:31:26,10.91,39.47,48.01
10:32:26,20.92,29.40,54.35
10:33:26,5.40,34.47,64.58
10:34:26,5.39,35.49,64.27
10:35:26,4.20,38.60,64.73
10:36:26,5.98,38.60,64.57
10:37:26,10.69,38.60,64.37
10:38:26,10.69,38.60,64.39
10:39:26,10.69,38.60,64.36
10:40:26,10.67,38.60,64.33
10:41:26,10.66,38.60,64.41
10:42:26,10.65,38.60,64.49
10:43:26,10.60,38.60,64.60
10:44:27,10.59,38.60,64.62
10:45:27,10.59,38.60,59.76
10:46:27,36.50,18.97,25.86
10:47:27,26.97,26.71,57.41
10:48:27,12.46,42.98,72.99
10:49:27,11.44,43.99,68.20
10:50:27,10.12,45.00,73.09
10:51:27,10.09,45.00,68.17
10:52:27,10.05,45.00,67.93
10:53:27,10.05,45.00,68.24
10:54:27,10.02,45.00,68.05
10:55:28,10.02,45.00,67.99
10:56:28,10.01,45.00,68.07
10:57:28,10.00,45.00,67.98
10:58:28,10.00,45.00,68.20
10:59:28,9.99,45.00,68.09
11:00:28,9.97,45.00,68.08
11:01:28,9.96,45.00,68.20
11:02:28,9.95,45.00,68.04
11:03:28,12.44,42.50,36.69
11:04:28,26.45,22.18,52.31
11:05:28,11.12,32.36,62.35
11:06:28,30.66,24.25,42.94
11:07:29,30.66,24.25,25.82
11:08:29,35.93,18.97,25.73
11:09:29,35.91,18.97,25.80
